Sr. No.,DC No.,DC Date,Branch,BCCD Name,Product Description,Product Sr. No.,Date of Purchase,Complaint No.,Part Code,Defect,Visiting Tech Name,Mfg Month/Year,Repair Date,"Defect Age (Years, Months, Days)",PCB Sr. No.,RF Observation,Testing,Failure,Analysis,Component Consumption,Status,Send Date,Engg. Name,Tag Entry By,Consumption Entry
28,RC2527000784,,NA  ,NA ,MAIN PCB IRX 220F INFRARED COOKTOP,NA,NA,NA,971039,NA ,NA,2023-01-12 00:00:00,2026-06-01 00:00:00,"3 years, 4 months",NA,NA,Fail,Not Working,EC1/R9/Q1/BZ/VR1/IC1/R1/F1 FAULTY,EC1/R9/Q1/BZ/VR1/IC1/R1/F1,OK,,SW,NileshK,AmitG
239,RC2527000784,,LKO,SA ENTERPRISES,MAIN PCB IRX 220F INFRARED COOKTOP,N304102319304,25/04/2025,LUCW27082503135293,971039,Dead,NA,2023-01-10 00:00:00,2026-06-01 00:00:00,"3 years, 4 months",NA,NA,Fail,Not Working,BZ/EC1 FAULTY,BZ/EC1,OK,,VS,NileshK,AmitG
507,RC2527000784,,JABALPUR,PAWAR TRADERS,MAIN PCB IRX 220F INFRARED COOKTOP,N304072455739,2024-09-03 00:00:00,JABR29072502894229,971039,NOT WORKING,RAJA RAUT ,2023-01-12 00:00:00,2026-06-01 00:00:00,"3 years, 4 months",NA,NA,Fail,Not Working,BZ/PCB_LUG FAULTY,BZ/PCB_LUG,OK,,SW,NileshK,AmitG
517,RC2527000784,,INDORE,MAA PITAMBRA ENTERPRISE,MAIN PCB IRX 220F INFRARED COOKTOP,N304022570571,NA ,2695125,971039,Dead,RAJENDRA,2023-01-12 00:00:00,2026-06-01 00:00:00,"3 years, 4 months",NA,NA,Fail,Not Working,BZ/IC1/VR1/CX1/EC1/R9 FAULTY,BZ/IC1/VR1/CX1/EC1/R9,OK,,SW,NileshK,AmitG
1025,RC2527000784,,PATNA,CHANDA ENTERPRISES,MAIN PCB IRX 220F INFRARED COOKTOP,N304012544986,2025-06-04 00:00:00,2361128,971039,Dead,SOURABH ,2023-01-09 00:00:00,2026-06-01 00:00:00,"3 years, 4 months",NA,NA,Fail,Not Working,R1/IC1/R1 FAULTY,R1/IC1/R1,OK,,SW,NileshK,AmitG
1065,RC2527000784,,NA  ,NA ,MAIN PCB IRX 220F INFRARED COOKTOP,N304022493722,2025-04-09 00:00:00,BHAR04072502654001,971039,NA ,GAURAV KUMAR ,2023-01-12 00:00:00,2026-06-01 00:00:00,"3 years, 4 months",NA,NA,Fail,Not Working,IC1/EC1/R1/VR1/EC1/IC1 FAULTY,IC1/EC1/R1/VR1/EC1/IC1,OK,,VS,NileshK,AmitG
212,RC2527000784,,GORAKHPUR,SHOEB ELECTRICALS,MAIN PCB IRX 220F INFRARED COOKTOP,N304012537248,NA,GORR25082503114433,971039,NOT WORKING,BHOLA YADAV ,2023-01-10 00:00:00,2025-10-11 00:00:00,"2 years, 9 months",NA,NA,Fail,Not Working,R1/PCB_LUG FAULTY,R1/PCB_LUG,OK,,SW,NileshK,AmitG
281,RC2527000784,,GORAKHPUR,MAZZ ENTERPRISES,MAIN PCB IRX 220F INFRARED COOKTOP,N3041224768,24/10/2024,GORR20052502176811,971039,NOT WORKING,RADHE ,2023-01-12 00:00:00,2025-11-11 00:00:00,"2 years, 9 months",NA,NA,Fail,Not Working,EC1 FAULTY,EC1,OK,,SW,NileshK,AmitG
374,RC2527000784,,NA  ,SHRI KANHA JI ENTERPRISES,MAIN PCB IRX 220F INFRARED COOKTOP,NA,18/02/2024,24009012673,971039,NOT WORKING,NA,2023-01-09 00:00:00,2025-10-11 00:00:00,"2 years, 9 months",NA,NA,Fail,Not Working,EC1/EC3/EC2 FAULTY,EC1/EC3/EC2,OK,,SW,NileshK,AmitG
391,RC2527000784,,NA  ,NA  ,MAIN PCB IRX 220F INFRARED COOKTOP,NA ,2025-09-05 00:00:00,2953180,971039,NOT WORKING,NA,2023-01-10 00:00:00,2025-10-11 00:00:00,"2 years, 9 months",NA,NA,Fail,Not Working,IC1/TR1/U1/R6/R7/R2 FAULTY,IC1/TR1/U1/R6/R7/R2,OK,,SW,NileshK,AmitG
521,RC2527000784,,NA  ,RAJ ELELCTRICAL WORKS ,MAIN PCB IRX 220F INFRARED COOKTOP,NA ,NA ,NA  ,971039,Dead,NIRAJ ,2023-01-01 00:00:00,2025-10-11 00:00:00,"2 years, 9 months",NA,NA,Fail,Not Working,EC1 FAULTY,EC1,OK,,SW,NileshK,AmitG
542,RC2527000784,,NAGPUR,VINOD REWINDERS,MAIN PCB IRX 220F INFRARED COOKTOP,NA ,24/02/2025,300725029000077,971039,Dead,NA,2023-01-12 00:00:00,2025-11-11 00:00:00,"2 years, 9 months",NA,NA,Fail,Not Working,R9 FAULTY,R9,OK,,SW,NileshK,AmitG
581,RC2527000784,,INDORE,GULSHAN EANTERPRISES,MAIN PCB IRX 220F INFRARED COOKTOP,N30409244336,NA,2778990,971039,Dead,PUSHPENDRA ,2023-01-01 00:00:00,2025-10-11 00:00:00,"2 years, 9 months",NA,NA,Fail,Not Working,IC1 FAULTY,IC1,OK,,SW,NileshK,AmitG
661,RC2527000784,,AHMEDABAD,MARUTI SALES SERVICE,MAIN PCB IRX 220F INFRARED COOKTOP,N304022584278,NA,AHMD25072502863232,971039,NOT WORKING,YOGESH VINOD RAI PANDYA ,2023-01-10 00:00:00,2025-10-11 00:00:00,"2 years, 9 months",NA,NA,Fail,Not Working,R2 FAULTY,R2,OK,,SW,NileshK,AmitG
797,RC2527000784,,NAGPUR,VINOD REWINDERS,MAIN PCB IRX 220F INFRARED COOKTOP,N30403248956,2024-09-11 00:00:00,13072502745100,971039,Dead,NA,2023-01-10 00:00:00,2025-10-11 00:00:00,"2 years, 9 months",NA,NA,Fail,Not Working,EC1 FAULTY,EC1,OK,,SW,NileshK,AmitG
840,RC2527000784,,INDORE,MAA PITAMBRA ENTERPRISE,MAIN PCB IRX 220F INFRARED COOKTOP,N304122473322,2025-02-10 00:00:00,257710,971039,Dead,DEEPAK ,2023-01-10 00:00:00,2025-10-11 00:00:00,"2 years, 9 months",NA,NA,Fail,Not Working,D1/D2/D3/D4/U1/R1/EC1 FAULTY,D1/D2/D3/D4/U1/R1/EC1,OK,,SW,NileshK,AmitG
