Sr. No.,DC No.,DC Date,Branch,BCCD Name,Product Description,Product Sr. No.,Date of Purchase,Complaint No.,Part Code,Defect,Visiting Tech Name,Mfg Month/Year,Repair Date,"Defect Age (Years, Months, Days)",PCB Sr. No.,RF Observation,Testing,Failure,Analysis,Component Consumption,Status,Send Date,Engg. Name,Tag Entry By,Consumption Entry
1,RC2527000998,,RAIPUR,PRABHAT ELECTRICAL,MAIN PCB ASSLY ICX 190 FS INDUCTION,ICX190FS Induction,NA,RAIR09092503242220-1,971089,NOT WORKING,SANTOSH RATHORE,45658,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
2,RC2527000998,,KUNDLI,JAGDAMBA ELECTRICALS,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304-2-25-53251,NA,2502693035-1,971089,NOT WORKING,NA,45689,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
3,RC2527000998,,RAIPUR,D. K. Electrical,MAIN PCB ASSLY ICX 190 FS INDUCTION,H 304 0225 36417,28/08/2025,RAIR04092503197882-1,971089,Dead,NA,45689,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
4,RC2527000998,,NA,NA,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304122415361,28-05-2025,BHOL13082503013040-1,971089,Dead,NA,45638,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
5,RC2527000998,,RAIPUR,BASANT SERVICE,MAIN PCB ASSLY ICX 190 FS INDUCTION,N30042564530,NA,RAIR18092503318542-1,971089,Dead,PATEL,45748,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
6,RC2527000998,,INDORE,BALAJI ENTERPRISES,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304-11-24-001272,21/12/2024,503146970-3,971089,Dead,RAHUL TOMAR,45658,,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
7,RC2527000998,,NA,NA,MAIN PCB ASSLY ICX 190 FS INDUCTION,N30411244262,NA,2502504240-1,971089,NA,NA,45627,,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
8,RC2527000998,,NAGAPUR,NA,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304022537092,20/08/2025,20092503337662-1,971089,NA,NA,45689,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
9,RC2527000998,,RAIPUR,AMV SALES,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304012533020,NA,RAIR 11092503264666-1,971089,Dead,M MANDAL,45658,,,NA,NA,Pass,Found OK,NA,,NFF,,SW,RajendraK,AmitG
10,RC2527000998,,NAGAPUR,VINOD REWINDERS,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304022541749,NA,15092503290717-1,971089,Dead,NA,45597,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
11,RC2527000998,,NAGAPUR,VINOD REWINDERS,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304022533810,13/08/2025,24082503105973-1,971089,Dead,NA,45689,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
12,RC2527000998,,NA,NA,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304102496159,NA,3336051,971089,NOT WORKING,NA,45627,,,NA,NA,Pass,Found OK,NA,,NFF,,SW,RajendraK,AmitG
13,RC2527000998,,NA,SHIV SHAKTI ELECTRICAL,MAIN PCB ASSLY ICX 190 FS INDUCTION,N30411242473,45783,2503002235-1,971089,NA,NA,45597,,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
