Sr. No.,DC No.,DC Date,Branch,BCCD Name,Product Description,Product Sr. No.,Date of Purchase,Complaint No.,Part Code,Defect,Visiting Tech Name,Mfg Month/Year,Repair Date,"Defect Age (Years, Months, Days)",PCB Sr. No.,RF Observation,Testing,Failure,Analysis,Component Consumption,Status,Send Date,Engg. Name,Tag Entry By,Consumption Entry
14,RC2527000998,,RAIPUR,BASANT SERVICE,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304022553402,28-02-2025,RAIR25082503117114-1,971089,Dead,SANJAY KEWAT,45748,,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
15,RC2527000998,,RAIPUR,AMV,MAIN PCB ASSLY ICX 190 FS INDUCTION,N3021022547879,NA,RAIR2608250312069-1,971089,NOT WORKING,MADHU MANGAL,45658,,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT ,OK,,SW,RajendraK,AmitG
16,RC2527000998,,JABALPUR,ADARSH ELECTRIC,MAIN PCB ASSLY ICX 190 FS INDUCTION,N30411244354,NA,JABR27082503134418-1,971089,Dead,DEEPAK,45597,,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
17,RC2527000998,,KUNDLI,NEW PREET ELECTRIC,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304022535758,NA,KUND13092503293024,971089,NOT WORKING,NA,45689,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT ,OK,,SW,RajendraK,AmitG
18,RC2527000998,,JABALPUR,ADARSH ELECTRIC,MAIN PCB ASSLY ICX 190 FS INDUCTION,N30411247137,16/06/2025,JABR2608250312884-1,971089,Dead,ANSHUL PATEL,45597,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,R9 FAULTY,R9,OK,,SW,RajendraK,AmitG
19,RC2527000998,,JABALPUR,D K TRADERS,MAIN PCB ASSLY ICX 190 FS INDUCTION,N30411247185,45933,92503248734,971089,NA,SHARAD,45839,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,IGBT FAULTY,IGBT ,OK,,SW,RajendraK,AmitG
20,RC2527000998,,NA,NA,MAIN PCB ASSLY ICX 190 FS INDUCTION,NA,NA,NA,971089,NA,NA,45809,,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
21,RC2527000998,,NAGAPUR,GURUKRUPA ELECRICAL,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304122412298,NA,3286886-1,971089,Dead,NA,45627,,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT ,OK,,SW,RajendraK,AmitG
22,RC2527000998,,NA,NA,MAIN PCB ASSLY ICX 190 FS INDUCTION,NA,NA,NA,971089,NA,NA,45658,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT/EC10 FAULTY,F1/IGBT/EC10,OK,,SW,RajendraK,AmitG
23,RC2527000998,,NA,DISHA ENTERPRISES,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304122420730,NA,3091672-2,971089,NOT WORKING,NA,45627,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
24,RC2527000998,,INDORE,NA,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304012528363,NA,250181014-1,971089,NA,PALLO KHOPAK,NA,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
25,RC2527000998,,RAIPUR,STAR SERVICE,MAIN PCB ASSLY ICX 190 FS INDUCTION,N3040125025530,NA,3133871-1,971089,NA,HARI DAS,45717,,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
26,RC2527000998,,DEHRADUN,PRABHU ENTERPRISESe,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304022547731,45907,DEHN26072502867001-1,971089,NA,NA,45748,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
27,RC2527000998,,NAGAPUR,VINOD REWINDERS,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304022534107,19-08-2025,RAIR21092503340731-1,971089,Dead,NA,45689,,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
28,RC2527000998,,NAGAPUR,VINOD REWINDERS,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304112409268,NA,15092503291250-1,971089,Dead,NA,45689,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT/PCB_LUG FAULTY,F1/IGBT/PCB_LUG,OK,,SW,RajendraK,AmitG
29,RC2527000998,,JABALPUR,D k TRADERS,MAIN PCB ASSLY ICX 190 FS INDUCTION,N30411247185,NA,82503074493,971089,NA,SHARAD RAJAK,45597,,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
30,RC2527000998,,NA,NA,MAIN PCB ASSLY ICX 190 FS INDUCTION,NA,NA,NA,971089,NA,NA,45658,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
31,RC2527000998,,NA,NA,MAIN PCB ASSLY ICX 190 FS INDUCTION,NA,NA,NA,971089,NA,NA,45658,,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
32,RC2527000998,,NA,BEST SERVICES,MAIN PCB ASSLY ICX 190 FS INDUCTION,N30411241247,45779,DELI17092503312894,971089,NA,NA,45962,,,NA,NA,Pass,Found OK,NA,,NFF,,SW,RajendraK,AmitG
33,RC2527000998,,INDORE,NADIRA,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304022538600,NA,2503287597-2,971089,NA,ASHISH KUMAR,NA,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
34,RC2527000998,,JABALPUR,ADARSH ELECTRIC,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304012524640,NA,JABR18062502474108-1,971089,Dead,PRADEEP,45658,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
35,RC2527000998,,NA,KRISHNA ENTERPRISES,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304022535389,45785,313324,971089,NA,DHANIRAM,45689,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
36,RC2527000998,,NA,SHIV SHAKTI ELECTRICAL,MAIN PCB ASSLY ICX 190 FS INDUCTION,N30411245610,45779,2503273916-1,971089,NA,NA,45839,,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
37,RC2527000998,,INDORE,NA,MAIN PCB ASSLY ICX 190 FS INDUCTION,N30411249790,NA,2503217964-1,971089,NA,ASHISH NARAYAN,45748,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
39,RC2527000998,,NA,SHIV SHAKTI ELECTRICAL,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304112401610,NA,2503056019-1,971089,NA,NA,45597,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
40,RC2527000998,,JABALPUR,D K TRADERS,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304122413130,45816,92503203323,971089,NA,ABHISHEK,45748,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
41,RC2527000998,,NA,SAGAR ELECTRICAL,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304112408789,45662,17072502788682,971089,NA,NA,45597,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
42,RC2527000998,,NAGAPUR,VINOD REWINDERS,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304122420248,20/03/2025,23092503360645-1,971089,Dead,NA,45627,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
43,RC2527000998,,NAGAPUR,SHIVAM SERVICES,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304122418334,NA,NAGR12092503271439-2,971089,NOT WORKING,AMAN,45627,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
44,RC2527000998,,RAIPUR,PRABHAT ELECTRICALS RAI E,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304022542777,45937,RAIR31082503164746-1,971089,Dead,SATEESH RATHORE,NA,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT/PCB_LUG FAULTY,F1/IGBT/PCB_LUG,OK,,SW,RajendraK,AmitG
45,RC2527000998,,RAIPUR,D K ELECTRIC,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304022547612,45936,RAIR10092503255749,971089,Dead,NA,45689,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
46,RC2527000998,,KUNDALI,SHREE SHYAM ELEC,MAIN PCB ASSLY ICX 190 FS INDUCTION,N30492547774,NA,92503259781-1,971089,NOT WORKING,NA,45809,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
51,RC2527000998,,JABALPUR,HAYAT ENTER,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304122421263,NA,JABR29082503147211-1,971089,Dead,MIRZA,45689,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
53,RC2527000998,,JABALPUR,HAYAT ENTER,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304022548178,NA,JABFR08092503236119-1,971089,Dead,PARNISO,45658,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
54,RC2527000998,,RAIPUR,BASANT SERVICES,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304025058378,45938,RAIR230825031031107-1,971089,Dead,SANJAY KUMAR,45689,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,T1/R9 FAULTY,T1/R9,OK,,SW,RajendraK,AmitG
56,RC2527000998,,DEHRADUN,PRAHAN ENTERPRISE,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304012523080,14-08-2025,DEHN10092503251648-1,971089,NOT WORKING,SHIVA,45658,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
57,RC2527000998,,NAGAPUR,VINOD REWINDERS,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304022534955,NA,14092503288660-1,971089,Dead,NA,45689,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
58,RC2527000998,,NAGAPUR,VINOD REWINDERS,MAIN PCB ASSLY ICX 190 FS INDUCTION,N3040022534351,30-06-2025,RAIR12092503269166-1,971089,Dead,RAHUL CHANDRAVANSHI,45689,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
59,RC2527000998,,DEHRADUN,PRABHAN ENTERPRISES,MAIN PCB ASSLY ICX 190 FS INDUCTION,N30411243713,45996,DEHN14072502743363-1,971089,Dead,SHILA,45689,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
61,RC2527000998,,BHOPAL,NA,MAIN PCB ASSLY ICX 190 FS INDUCTION,N30412241883,13/05/2025,2927759-2,971089,NOT WORKING,NA,NA,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
63,RC2527000998,,INDORE,MAA PITAMBRA EXT,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304122413469,45719,03031173-1,971089,Dead,SUNIL,45627,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
64,RC2527000998,,INDORE,KUMAR HOME APLIANCE,MAIN PCB ASSLY ICX 190 FS INDUCTION,NA,NA,2914460-1,971089,NA,ANURAG,45597,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT/EC10/R9/PCB_LUG FAULTY,F1/IGBT/EC10/R9/PCB_LUG,OK,,SW,RajendraK,AmitG
65,RC2527000998,,JABALPUR,HAYAT ENTERPRISES,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304012528491,45780,JABR03082502937980-1,971089,NA,SHEIKH JAVED,45658,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
66,RC2527000998,,NA,NA,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304022543635,24/06/2025,BHOL03092503190505-1,971089,Dead,NA,45627,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
67,RC2527000998,,NA,NA,MAIN PCB ASSLY ICX 190 FS INDUCTION,NA,NA,NA,971089,NA,NA,45658,,,NA,NA,Pass,Found OK,NA,,NFF,,SW,RajendraK,AmitG
68,RC2527000998,,NA,NA,MAIN PCB ASSLY ICX 190 FS INDUCTION,NA,NA,NA,971089,NA,NA,45658,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
69,RC2527000998,,NA,MA,MAIN PCB ASSLY ICX 190 FS INDUCTION,NA,NA,NA,971089,NA,NA,45809,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
71,RC2527000998,,NA,NA,MAIN PCB ASSLY ICX 190 FS INDUCTION,NA,NA,NA,971089,NA,NA,45597,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,T1/LO1/EC4/EC10 FAULTY,T1/LO1/EC4/EC10,OK,,SW,RajendraK,AmitG
72,RC2527000998,,BHOPAL,DISHA ENTERPRISES,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304122435293,NA,3104282-1,971089,NOT WORKING,NA,45627,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
73,RC2527000998,,NAGAPUR,VINOD REWINDERS,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304022541944,NA,20082503070985-1,971089,Dead,NA,45627,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
75,RC2527000998,,NA,NA,MAIN PCB ASSLY ICX 190 FS INDUCTION,NA,NA,NA,971089,NA,NA,45689,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT/EC10/EC4 FAULTY,F1/IGBT/EC10/EC4,OK,,SW,RajendraK,AmitG
77,RC2527000998,,NA,NA,MAIN PCB ASSLY ICX 190 FS INDUCTION,NA,NA,NA,971089,NA,NA,45748,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
78,RC2527000998,,KOLKATS 2,BANI ENTEPRISES,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304012531042,19/08/2025,KOL206092503220510-1,971089,NOT WORKING,SUSHANTA MONDAL,45689,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
79,RC2527000998,,Ahmedabad,KANAIYA SALES,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304102424,NA,AHMD11092503259116-1,971089,Dead,MAHESH BHANAJI MULIYA,45839,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
81,RC2527000998,,JAMNAGAR,DHAWAL ELECTRIC REFRIGERATION,MAIN PCB ASSLY ICX 190 FS INDUCTION,N3041224122419317,NA,AHMD19092503329865-1,971089,Dead,NILESH BHAI ROSHIYA,45627,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,R9 FAULTY,R9,OK,,SW,RajendraK,AmitG
82,RC2527000998,,NAGAPUR,VINOD REWINDERS,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304122421120,24-02-2025,RAIR17082503040510-1,971089,Dead,NA,45627,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,D10/F1/IGBT FAULTY,D10/F1/IGBT,OK,,SW,RajendraK,AmitG
83,RC2527000998,,RAIPUR,NA,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304012530268,24/04/2025,100925032563221,971089,NA,NA,45658,,,NA,NA,Fail,Not Working,IGBT/F1 FAULTY,IGBT/F1 ,OK,,SW,RajendraK,AmitG
84,RC2527000998,,KOL,NA,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304012522645,18-06-2025,858853-1,971089,NOT WORKING,S DAS,45658,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
85,RC2527000998,,MALDA,NEW DIGITAL SERVICE,MAIN PCB ASSLY ICX 190 FS INDUCTION,N3041224014320,45840,32151841,971089,NA,MD GEYON AKRAM,45627,,,NA,NA,Fail,Not Working,IGBT/F1/EC10/EC4/T1 FAULTY,IGBT/F1/EC10/EC4/T1 ,OK,,SW,RajendraK,AmitG
87,RC2527000998,,DURGAPUR,RELIABLE SE5RVICE,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304012522481,15/08/2025,KOL231082503165803,971089,NOT WORKING,KISHAN SHAW,45658,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
88,RC2527000998,,NA,KUNDU ENTERPRISE,MAIN PCB ASSLY ICX 190 FS INDUCTION,N304012524202,45658,3099903-1,971089,NOT WORKING,SOURAV CHATTERJEE,45658,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT,OK,,SW,RajendraK,AmitG
89,RC2527000998,,NA,NA,MAIN PCB ASSLY ICX 190 FS INDUCTION,NA,NA,NA,971089,NA,NA,45689,2025-12-12 00:00:00,,NA,NA,Fail,Not Working,F1/IGBT FAULTY,F1/IGBT ,OK,,SW,RajendraK,AmitG
