Sr. No.,DC No.,DC Date,Branch,BCCD Name,Product Description,Product Sr. No.,Date of Purchase,Complaint No.,Part Code,Defect,Visiting Tech Name,Mfg Month/Year,Repair Date,"Defect Age (Years, Months, Days)",PCB Sr. No.,RF Observation,Testing,Failure,Analysis,Component Consumption,Status,Send Date,Engg. Name,Tag Entry By,Consumption Entry
1,RC2527000784,,NA,NA,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,NA,NA,NA,974290,NA,NA,45536,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,SP,RevatiJ,AmitG
2,RC2527000784,,NA,NA,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,NA,NA,NA,974290,NA,NA,45298,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,SP,RevatiJ,AmitG
3,RC2527000784,,KHARDAH KOL-117,A.E. ENTERPRISE,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,E201012556989,NA,7082502968197,974290,Dead,SAHID,45658,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,SP,RevatiJ,AmitG
4,RC2527000784,,NA,DISPLAY PCB LCX ,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,X999022346490,27/06/2025,317125,974290,NOT WORKING,RAMAKAN SINGH,44928,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,VS,RevatiJ,AmitG
5,RC2527000784,,NA,NA,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,NA,NA,TAL225072502859338-1,974290,NOT WORKING,SEOITEA PRO,45300,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,VS,RevatiJ,AmitG
6,RC2527000784,,NA,NA,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,NA,NA,NA,974290,NA,NA,45658,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,VS,RevatiJ,AmitG
7,RC2527000784,,DWARKA,SHREE KRUPA ELECTRICAL,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,X999082368942,45658,AHMD16072502781119-1,974290,Dead,KEYUR KUMAR BHAGVANJI PABARI,44934,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,VS,RevatiJ,AmitG
8,RC2527000784,,NA,NA,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,NA,NA,NA,974290,NA,NA,44933,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,SP,RevatiJ,AmitG
9,RC2527000784,,NAGAPUR,VINOD ENTERPRISES,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,E201072353820,45598,28072502881582-3,974290,Dead,NA,45303,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,VS,RevatiJ,AmitG
10,RC2527000784,,NA,NA,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,X999182218987,45303,2821538-1,974290,Dead,JAYARAKASH SINGH,45108,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,SP,RevatiJ,AmitG
11,RC2527000784,,NA,NA,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,E201102398180,28/10/2025,2798075,974290,NOT WORKING,RINTU,45200,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,SP,RevatiJ,AmitG
12,RC2527000784,,KOLKATA,MAA SARADA ELECTRICAL,DISPLAY PCB ASSLY ICX 190 TS INDUCTION, K01217062502463448,21/12/2025,E201092389623,974290,NOT WORKING,NA,45170,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,SP,RevatiJ,AmitG
13,RC2527000784,,INDORE,DS GROUP CENTER,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,E20109242764,NA,2502453030-1,974290,Dead,NA,45597,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,SP,RevatiJ,AmitG
14,RC2527000784,,JABALPUR,PAWAN ENTERPRISES,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,X999092215632,17/09/2024,JABR11072502719160-1,974290,NOT WORKING,NA,45139,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,SP,RevatiJ,AmitG
15,RC2527000784,,INDORE,PRACHI ELECTRONICS,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,E201062434996,15/05/2025,INDE21072502821009-1,974290,Dead,SUBHAM,45139,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,SP,RevatiJ,AmitG
16,RC2527000784,,INDORE,SJA,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,E201092389177,45301,02586276-1,974290,Dead,PRASHANT THAKUR,45323,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,SP,RevatiJ,AmitG
17,RC2527000784,,NA,NA,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,NA,NA,NA,974290,NA,NA,45627,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,SP,RevatiJ,AmitG
18,RC2527000784,,RANCHI,N.K ELECTRICAL,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,E201062260861,45608,RAN128672502887498,974290,Dead,SADAIN,45139,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,SP,RevatiJ,AmitG
19,RC2527000784,,KOLKATA,MAA SARADA ELECTRICAL,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,E201112224356,45700,K01221072502821121,974290,Dead,B MONDAL,44572,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,VS,RevatiJ,AmitG
20,RC2527000784,,NA,MAHAVEER ELECTRONICS,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,E201112427819,45749,BHOL13062502416939-1,974290,NOT WORKING,INDU,45170,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,VS,RevatiJ,AmitG
21,RC2527000784,,NA,SAGAR ELECTRICAL,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,E20112550556,NA,11072502721111,974290,Dead,NA,45108,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,SP,RevatiJ,AmitG
22,RC2527000784,,JABALPUR,E.E.I,DISPLAY PCB ASSLY ICX 190 TS INDUCTION,E201032477550,45699,JABR10062502379365-1,974290,Dead,MONU,44938,,,NA,NA,Pass,Found OK,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S11/S12/S13,NFF,,VS,RevatiJ,AmitG
