Sr. No.,DC No.,DC Date,Branch,BCCD Name,Product Description,Product Sr. No.,Date of Purchase,Complaint No.,Part Code,Defect,Visiting Tech Name,Mfg Month/Year,Repair Date,"Defect Age (Years, Months, Days)",PCB Sr. No.,RF Observation,Testing,Failure,Analysis,Component Consumption,Status,Send Date,Engg. Name,Tag Entry By,Consumption Entry
1,RC2527000998,,INDORE,PAWAN TRADERS,DISPLAY PCB ASSLY ICX 130 TS INDUCTION,E201062320968,15/07/2024,JABR1905250212417-1,974278,NOT WORKING,NA,2023-06-01 00:00:00,2025-12-13 00:00:00,,NA,NA,Fail,Not Working,S1/S2/S3/S4/S5/S6/LED/LED/LED/LED FAULTY,S1/S2/S3/S4/S5/S6/LED/LED/LED/LED ,OK,,SP,AartiG,AmitG
2,RC2527000998,,KUSHINAGAR,AYANSHI ENTERPRISES,DISPLAY PCB ASSLY ICX 130 TS INDUCTION,E201022391309,NA,GORR29072502894127-1,974278,NOT WORKING,AKHILESH TADAV,2024-07-01 00:00:00,2025-12-13 00:00:00,,NA,NA,Fail,Not Working,LED/LED/LED/S2/S8/S9 FAULTY,LED/LED/LED/S2/S8/S9 ,OK,,SP,AartiG,AmitG
3,RC2527000998,,NA,AAKUN,DISPLAY PCB ASSLY ICX 130 TS INDUCTION,102219881,2024-09-09 00:00:00,2806911,974278,NOT WORKING,NA,NA,2025-12-13 00:00:00,,NA,NA,Fail,Not Working,S1/S3/S5/LED/LED FAULTY,S1/S3/S5/LED/LED,OK,,SP,AartiG,AmitG
4,RC2527000998,,RAIPUR,BASANT SERVICE,DISPLAY PCB ASSLY ICX 130 TS INDUCTION,E201112222655,2024-04-09 00:00:00,RAIR15072507764284-1,974278,Dead,CHHAHI ,2024-11-01 00:00:00,2025-12-13 00:00:00,,NA,NA,Fail,Not Working,S1/S3/LED/LED/LED/LED/LED FAULTY,S1/S3/LED/LED/LED/LED/LED ,OK,,SP,AartiG,AmitG
6,RC2527000998,,KOLKATA,AROHI,DISPLAY PCB ASSLY ICX 130 TS INDUCTION,NA,NA,KOLA05072502660407-1,974278,NOT WORKING,MANTV,2022-12-01 00:00:00,2025-12-13 00:00:00,,NA,NA,Fail,Not Working,S1/S2/S7/S9/S11/S13/LED/LED/LED,S1/S2/S7/S9/S11/S13/LED/LED/LED,OK,,SP,AartiG,AmitG
7,RC2527000998,,RAIPUR,BASANT SERVICE,DISPLAY PCB ASSLY ICX 130 TS INDUCTION,E201112226406,2025-03-01 00:00:00,RAIRK1907250806185-1,974278,Dead,SHUMA ,2023-07-01 00:00:00,2025-12-13 00:00:00,,NA,NA,Fail,Not Working,S1/S11/S13/LED/LED/LED/LED FAULTY,S1/S11/S13/LED/LED/LED/LED,OK,,SP,AartiG,AmitG
8,RC2527000998,,NA,LIGHT HOUSE,DISPLAY PCB ASSLY ICX 130 TS INDUCTION,E2010223388,20/08/2024,2559992-1,974278,Dead,NA,2023-08-01 00:00:00,2025-12-13 00:00:00,,NA,NA,Fail,Not Working,S3/S6/S7/S9/LED/LED/LED FAULTY,S3/S6/S7/S9/LED/LED/LED ,OK,,SP,AartiG,AmitG
10,RC2527000998,,RAJPUT,SHIV ELECTRIC AND SERVICE,DISPLAY PCB ASSLY ICX 130 TS INDUCTION,D100092382172,2024-06-11 00:00:00,AHMD25062502545615-1,974278,NOT WORKING,ANIRUDDH B ZANKAT,NA,2025-12-13 00:00:00,,NA,NA,Fail,Not Working,S1/S9/S11/LED/LED/LED/LED FAULTY,S1/S9/S11/LED/LED/LED/LED ,OK,,SP,AartiG,AmitG
11,RC2527000998,,RAIPUR,NA,DISPLAY PCB ASSLY ICX 130 TS INDUCTION,E201052480682,28/11/2024,RAIR05082502954831,974278,Dead,GORE MAHHEM,NA,2025-12-13 00:00:00,,NA,NA,Fail,Not Working,S1/S3/S7/LED/LED/LED FAULTY,S1/S3/S7/LED/LED/LED ,OK,,SP,AartiG,AmitG
13,RC2527000998,,NA,NA,DISPLAY PCB ASSLY ICX 130 TS INDUCTION,NA,NA,NA,974278,NA,NA,NA,2025-12-13 00:00:00,,NA,NA,PASS,FOUND OK,NA,,NFF,,SP,AartiG,AmitG
15,RC2527000998,,RAIPUR,AMV,DISPLAY PCB ASSLY ICX 130 TS INDUCTION,X999012364599,15/08/2024,RAIR02028250291825-1,974278,NOT WORKING,P.SAHA,NA,2025-12-13 00:00:00,,NA,NA,PASS,FOUND OK,NA,,NFF,,SP,AartiG,AmitG
