Sr. No.,DC No.,DC Date,Branch,BCCD Name,Product Description,Product Sr. No.,Date of Purchase,Complaint No.,Part Code,Defect,Visiting Tech Name,Mfg Month/Year,Repair Date,"Defect Age (Years, Months, Days)",PCB Sr. No.,RF Observation,Testing,Failure,Analysis,Component Consumption,Status,Send Date,Engg. Name,Tag Entry By,Consumption Entry
3,RC2527000784,,LUCKNOW,BK ENTERPRISES,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,Dead,NA,2025-09-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S1/LED/LED/LED/LED FAULTY,S1/LED/LED/LED/LED,OK,,ND,AmitG,AmitG
4,RC2527000784,,NA ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-11-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S12/S13/LED/LED FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S12/S13/LED/LED,OK,,ND,AmitG,AmitG
5,RC2527000784,,NAGAPUR,VINOD REWINDERS,DISPLAY PCB ICX 160 TS NEO,E201022565787,NA,RAIR09072502699197,971084,Dead,RAHUL,2025-02-25 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S12/LED FAULTY,S12/LED,OK,,ND,AmitG,AmitG
7,RC2527000784,,RAIPUR,PERFECT SERVICE CENTER,DISPLAY PCB ICX 160 TS NEO,E201012558860,22/06/2025,RAIR18072502800340,971084,NA,SHEKH,2025-06-24 00:00:00,,,NA,NA,Pass,Found OK,NA,,NFF,,ND,AmitG,AmitG
8,RC2527000784,,NA ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-10-23 00:00:00,,,NA,NA,Pass,Found OK,NA,,NFF,,ND,AmitG,AmitG
9,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-07-23 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S10/S1/S7/LED/LED/LED FAULTY,S10/S1/S7/LED/LED/LED,OK,,ND ,AmitG,AmitG
10,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-08-23 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S8/LED FAULTY,S8/LED,OK,,ND,AmitG,AmitG
11,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-10-24 00:00:00,,,NA,NA,Pass,Found OK,NA,,NFF,,ND,AmitG,AmitG
12,RC2527000784,,NAGAPUR,GURUKRUPA ELECRICAL,DISPLAY PCB ICX 160 TS NEO,E201112428055,NA,2112115,971084,NA,GOPAL,2025-12-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S1/S2/S5/LED/LED/LED/LED FAULTY,S1/S2/S5/LED/LED/LED/LED,OK,,ND,AmitG,AmitG
13,RC2527000784,,JAIPUR,ATISHAY ENTERPRISES,DISPLAY PCB ICX 160 TS NEO,E201102419210,NA,JAIN3062502601639,971084,Dead,NA,2025-10-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S5/S6/S8/S10/S12/S13/LED/LED FAULTY,S5/S6/S8/S10/S12/S13/LED/LED,OK,,ND,AmitG,AmitG
14,RC2527000784,,BAREILLY,JESUS ELECTRONICS,DISPLAY PCB ICX 160 TS NEO,E201012552556,18/03/2025,BARY0408250292728,971084,Dead,NA,2025-09-24 00:00:00,,,NA,NA,Pass,Found OK,NA,,NFF,,ND,AmitG,AmitG
15,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,E201102414806,NA,2972939,971084,NOT WORKING,NA,2025-10-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S3/LED/LED FAULTY,S3/LED/LED,OK,,ND,AmitG,AmitG
16,RC2527000784,,NAGAPUR,BHAVESH ELECTRICAL,DISPLAY PCB ICX 160 TS NEO,E201102213746,2025-06-09 00:00:00,RAIR2207250283042,971084,NOT WORKING,SHRAWAN,2025-11-22 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/LED LED FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/LED,OK,,ND,AmitG,AmitG
17,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-11-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S2/S3/S4/S9/S12/LED/LED FAULTY,S2/S3/S4/S9/S12/LED/LED,OK,,ND,AmitG,AmitG
18,RC2527000784,,KOLKATA,RD ELECTRICAL,DISPLAY PCB ICX 160 TS NEO,E201012555145,NA,2821386,971084,NOT WORKING,NA,2025-01-25 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S7/S8/S12/S13/LED/LED/LED/LED/LED/LED FAULTY,S7/S8/S12/S13/LED/LED/LED/LED/LED/LED,OK,,ND,AmitG,AmitG
19,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-03-25 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S7/LED FAULTY,S7/LED,OK,,ND,AmitG,AmitG
20,RC2527000784,,NAGAPUR,SHIVAM SERVICE,DISPLAY PCB ICX 160 TS NEO,E201112425724,17/02/2025,21072502823312,971084,NA,NA,2025-11-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,LED/LED FAULTY,LED/LED,OK,,ND,AmitG,AmitG
21,RC2527000784,,NAGAPUR,LAXMI ELECTRICAL,DISPLAY PCB ICX 160 TS NEO,E201102421196,20/04/2025,2724927,971084,NOT WORKING,NA,2025-10-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,LED/LED/LED FAULTY,LED/LED/LED,OK,,ND,AmitG,AmitG
23,RC2527000784,,NA ,RD ELECTRICAL,DISPLAY PCB ICX 160 TS NEO,E201102419666,23/11/2024,2736609,971084,NOT WORKING,NA,2025-12-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S1/S3/S5 FAULTY,S1/S3/S5,OK,,ND,AmitG,AmitG
24,RC2527000784,,NA ,NA  N,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-03-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S8 FAULTY,S8,OK,,ND,AmitG,AmitG
25,RC2527000784,,RAIPUR,SATGURU ELECTRICAL,DISPLAY PCB ICX 160 TS NEO,E2010924593,2025-08-03 00:00:00,RAIR07072502677781,971084,NOT WORKING,NA,2025-09-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,LED/LED FAULTY,LED/LED,OK,,ND,AmitG,AmitG
26,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-03-25 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,LED FAULTY,LED,OK,,ND,AmitG,AmitG
27,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-01-25 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,LED FAULTY,LED,OK,,ND,AmitG,AmitG
