Sr. No.,DC No.,DC Date,Branch,BCCD Name,Product Description,Product Sr. No.,Date of Purchase,Complaint No.,Part Code,Defect,Visiting Tech Name,Mfg Month/Year,Repair Date,"Defect Age (Years, Months, Days)",PCB Sr. No.,RF Observation,Testing,Failure,Analysis,Component Consumption,Status,Send Date,Engg. Name,Tag Entry By,Consumption Entry
28,RC2527000784,,RAIPUR,SATGURU ELECTRICAL,DISPLAY PCB ICX 160 TS NEO,E20109246131,2024-01-11 00:00:00,RAIR06072502669187,971084,NA,NA,2025-09-24 00:00:00,,,NA,NA,Pass,Found OK,NA ,,NFF,,ND,AmitG,AmitG
30,RC2527000784,,JAIPUR,KHUSHI ENTERPRISES,DISPLAY PCB ICX 160 TS NEO,E201122449172,NA,JAIR07082502970366,971084,NOT WORKING,MAHENDRA,NA,24-11-2025,,NA,NA,Fail,Not Working,S1/S2/S5/S6/S4/LED/LED/LED FAULTY,S1/S2/S5/S6/S4/LED/LED/LED,OK,,ND,AmitG,AmitG
31,RC2527000784,,NA ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-12-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S1/LED FAULTY,S1/LED,OK,,ND,AmitG,AmitG
32,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-12-24 00:00:00,,,NA,NA,Pass,Found OK,NA,,NFF,,ND,AmitG,AmitG
33,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-03-24 00:00:00,,,NA,NA,Pass,Found OK,NA,,NFF,,ND,AmitG,AmitG
34,RC2527000784,,NAGAPUR,NA   ,DISPLAY PCB ICX 160 TS NEO,E201102476053,19/06/2025,RAIR02572502622306,971084,NA,NA,`10/24,24-11-2025,,NA,NA,Fail,Not Working,S12 FAULTY,S12,OK,,ND,AmitG,AmitG
35,RC2527000784,,VARANASI,TEJAS ENTERPRISE,DISPLAY PCB ICX 160 TS NEO,E201032579572,NA,VARI180725028000519,971084,Dead,NA,2025-11-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S1/S2/S4/S10/LED/LED FAULTY,S1/S2/S4/S10/LED/LED,OK,,ND,AmitG,AmitG
36,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-06-23 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S8/LED/CN1 FAULTY,S8/LED/CN1,OK,,ND,AmitG,AmitG
37,RC2527000784,,NA ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-03-25 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,LED/LED FAULTY,LED/LED,OK,,ND,AmitG,AmitG
38,RC2527000784,,NAGAPUR,NITESH SERVICES,DISPLAY PCB ICX 160 TS NEO,E201112428023,NA,NAGR16082503035104,971084,Dead,MAHESH,2025-01-25 00:00:00,,,NA,NA,Pass,Found OK,NA ,,NFF,,ND,AmitG,AmitG
39,RC2527000784,,NA ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-08-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S1/S2/S5/S12 FAULTY,S1/S2/S5/S12,OK,,ND,AmitG,AmitG
40,RC2527000784,,NA ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-06-24 00:00:00,,,NA,NA,Pass,Found OK,NA,,NFF,,ND,AmitG,AmitG
41,RC2527000784,,RAIPUR,AMV SALES,DISPLAY PCB ICX 160 TS NEO,E20109241814,22/10/2024,RAIR31072502915733,971084,Dead,DINESH,2025-11-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,LED FAULTY,LED,OK,,ND,AmitG,AmitG
42,RC2527000784,,RAIPUR,SADGUR ENTERPRISES,DISPLAY PCB ICX 160 TS NEO,E20103284702,NA,RAIR06082502962202,971084,NOT WORKING,SAHU,1905-07-17 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S1/S12/LED/LED FAULTY,S1/S12/LED/LED,OK,,ND,AmitG,AmitG
43,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-11-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S6/S7/S8/U2 FAULTY,S6/S7/S8/U2,OK,,ND,AmitG,AmitG
44,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-01-25 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S10/S12/LED FAULTY,S10/S12/LED,OK,,ND,AmitG,AmitG
45,RC2527000784,,NA  ,NA    ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-03-25 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S1/S2/LED FAULTY,S1/S2/LED,OK,,ND,AmitG,AmitG
46,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-06-25 00:00:00,,,NA,NA,Pass,Found OK,NA,,NFF,,ND,AmitG,AmitG
48,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,NA,24-11-2025,,NA,NA,Fail,Not Working,S4/S5/S12 FAULTY,S4/S5/S12,OK,,ND,AmitG,AmitG
49,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-08-24 00:00:00,,,NA,NA,Pass,Found OK,NA,,NFF,,ND,AmitG,AmitG
50,RC2527000784,,NA  ,NA    ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-12-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S7/S8 FAULTY,S7/S8,OK,,ND,AmitG,AmitG
51,RC2527000784,,NA ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,NA,24-11-2025,,NA,NA,Fail,Not Working,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S12/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S12/S13,OK,,ND,AmitG,AmitG
52,RC2527000784,,NA ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,NA,24-11-2025,,NA,NA,Fail,Not Working,S12/LED FAULTY,S12/LED,OK,,ND,AmitG,AmitG
53,RC2527000784,,NA ,NA    ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-09-23 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S1/S2/S12/S9/LED/LED/LED/LED FAULTY,S1/S2/S12/S9/LED/LED/LED/LED,OK,,ND,AmitG,AmitG
54,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-11-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S1 FAULTY,S1,OK,,ND,AmitG,AmitG
56,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-12-24 00:00:00,,,NA,NA,Pass,Found OK,NA ,,NFF,,ND,AmitG,AmitG
58,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-07-22 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S13 FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S13,OK,,ND,AmitG,AmitG
59,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-11-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S1/S2/S5/S6/S7/LED/LED/LED/LED/LED/LED/LED/LED/U2 FAULTY,S1/S2/S5/S6/S7/LED/LED/LED/LED/LED/LED/LED/LED/U2,OK,,ND,AmitG,AmitG
60,RC2527000784,,NA ,NA    ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-11-23 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S3/LED/LED FAULTY,S3/LED/LED,OK,,ND,AmitG,AmitG
62,RC2527000784,,NA ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-01-23 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S10 FAULTY,S10,OK,,ND,AmitG,AmitG
63,RC2527000784,,NA   ,NA    ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,NA,24-11-2025,,NA,NA,Fail,Not Working,U2/S1/S4/S7/S8/S12/S10 FAULTY,U2/S1/S4/S7/S8/S12/S10,OK,,ND,AmitG,AmitG
64,RC2527000784,,NA  ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-09-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S3/S4/S5/S6/S8 FAULTY,S3/S4/S5/S6/S8,OK,,ND,AmitG,AmitG
65,RC2527000784,,NA   ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-06-24 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,LED FAULTY,LED,OK,,ND,AmitG,AmitG
66,RC2527000784,,NA   ,NA    ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-04-23 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S10/S12 FAULTY,S10/S12,OK,,ND,AmitG,AmitG
67,RC2527000784,,NA   ,NA    ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-09-23 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S4/S6/S7/S8 FAULTY,S4/S6/S7/S8,OK,,ND,AmitG,AmitG
68,RC2527000784,,NA   ,NA    ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,NA,24-11-2025,,NA,NA,Fail,Not Working,S5 FAULTY,S5,OK,,ND,AmitG,AmitG
70,RC2527000784,,NA   ,NA   ,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-07-23 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S1/LED FAULTY,S1/LED,OK,,ND,AmitG,AmitG
1,RC2527000601,,NA 		,NA 	,DISPLAY PCB ICX 160 TS NEO,NA ,NA,NA,971084,NA,NA,2025-12-24 00:00:00,2025-11-19 00:00:00,,NA,NA,Fail,Not Working,S6/S1/LED/LED FAULTY,S6/S1/LED/LED,OK,,MS,RahulS,AmitG
2,RC2527000601,,KANPUR,LAXMI ELECTRICAL,DISPLAY PCB ICX 160 TS NEO,E20109246863,45393,2684687,971084,NOT WORKING,DEEPAK,2025-10-24 00:00:00,2025-11-19 00:00:00,,NA,NA,Fail,Not Working,S1/S2 FAULTY,S1/S2,OK,,MS,RahulS,AmitG
3,RC2527000601,,LUCKNOW,SP ENTERPRISES,DISPLAY PCB ICX 160 TS NEO,E201122441031,45965,VARI02062509303156,971084,NOT WORKING,RAJU SHRIVASTAVA,2025-12-24 00:00:00,2025-11-19 00:00:00,,NA,NA,Fail,Not Working,S5 FAULTY,S5,OK,,MS,RahulS,AmitG
4,RC2527000601,,VARANASI,SS TELECOM,DISPLAY PCB ICX 160 TS NEO,E201012558165,NA,4346829,971084,Dead,NA,2025-11-24 00:00:00,2025-11-19 00:00:00,,NA,NA,Fail,Not Working,S2/LED/CN1 FAULTY,S2/LED/CN1,OK,,MS,RahulS,AmitG
5,RC2527000601,,PRATAPGARH,NA 	,DISPLAY PCB ICX 160 TS NEO,E201012551236,45664,VARI010725026+17464,971084,Dead,PAWAN MAURYA,2025-10-23 00:00:00,2025-11-19 00:00:00,,NA,NA,Fail,Not Working,S1/S2/S3/S9/S12/S13/S4/S5/S6 FAULTY,S1/S2/S3/S9/S12/S13/S4/S5/S6,OK,,MS,RahulS,AmitG
6,RC2527000601,,KANPUR,SAI CARE,DISPLAY PCB ICX 160 TS NEO,E201012556738,NA,1950922,971084,Dead,SHADA KHAN,2025-09-24 00:00:00,2025-11-19 00:00:00,,NA,NA,Fail,Not Working,U2 FAULTY,U2,OK,,MS,RahulS,AmitG
7,RC2527000601,,AGRA,SUMAN COMMUNICATION,DISPLAY PCB ICX 160 TS NEO,E201122434117,NA,AGRA29052502261982,971084,Dead,MAJEED,2025-04-24 00:00:00,2025-11-19 00:00:00,,NA,NA,Fail,Not Working,U3/S2 FAULTY,U2/S2,OK,,MS,RahulS,AmitG
8,RC2527000601,,LUCKNOW,SHIVA ELECTRICAL,DISPLAY PCB ICX 160 TS NEO,NA,NA,1957737,971084,Dead,NA,2025-08-24 00:00:00,2025-11-19 00:00:00,,NA,NA,Pass,Found OK,NA,,NFF,,MS,RahulS,AmitG
1,RC2527000998,,RAIPUR,PRABHAT ELECTRICAL,DISPLAY PCB ICX 160 TS NEO,E201122437825,2035-11-07 00:00:00,RAIR08092503236697-1,971084,NOT WORKING,SATEESH RATHOR,2024-12-01 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S1/LED/LED/LED/LED FAULTY,S1/LED/LED/LED/LED,OK,,ND,AartiG,AmitG
2,RC2527000998,,NA,AKASH MARKETING,DISPLAY PCB ICX 160 TS NEO,E2010B2435245,30/09/2025,3117113-3,971084,PEREV 1901F,NA,2023-06-01 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S12/S13/LED/LED FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/S12/S13/LED/LED,OK,,ND,AartiG,AmitG
3,RC2527000998,,RAIPUR,AMV,DISPLAY PCB ICX 160 TS NEO,X9990824097604,NA,RAIRI7082503044457-1,971084,NOT WORKING,PRASHANT SAHU,2024-01-11 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S12/LED FAULTY,S12/LED,OK,,ND,AartiG,AartiG
4,RC2527000998,,RAIPUR,BASANT SERVICE,DISPLAY PCB ICX 160 TS NEO,E201092388716,28/05/2025,RALR 20082503072606-1,971084,NA,BASCUNT KEWAT,NA,,,NA,NA,Pass,Found OK,NA,,NFF,,ND,AartiG,AmitG
5,RC2527000998,,NA,NA,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2023-08-01 00:00:00,,,NA,NA,Pass,Found OK,NA,,NFF,,ND,AartiG,AmitG
6,RC2527000998,,RAIPUR,PERFECT SERVICE CENTER,DISPLAY PCB ICX 160 TS NEO,E201102393583,16/11/2024,RAIR27082503133368-1,971084,DISPLAY PCB DEFECTIVE,SHEKH KAUIM,2023-08-01 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S10/S1/S7/LED/LED/LED FAULTY,S10/S1/S7/LED/LED/LED,OK,,ND ,AartiG,AmitG
7,RC2527000998,,NAGAPUR,BHAVESH ELECTRICAL,DISPLAY PCB ICX 160 TS NEO,E20109240103,30/03/2025,RAIR 31082503162297-1,971084,NOT WORKING,NA,NA,24-11-2025,,NA,NA,Fail,Not Working,S8/LED FAULTY,S8/LED,OK,,ND,AartiG,AmitG
8,RC2527000998,,NA,ARPAN TECHNICAL SERVICE,DISPLAY PCB ICX 160 TS NEO,E201122444882,NA,AHMD01092503175630-1,971084,Dead,BHVESH KANAINYA LAL GORAKHIYA,2023-07-01 00:00:00,,,NA,NA,Pass,Found OK,NA,,NFF,,ND,AartiG,AmitG
9,RC2527000998,,NA,NA,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2024-08-01 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S1/S2/S5/LED/LED/LED/LED FAULTY,S1/S2/S5/LED/LED/LED/LED,OK,,ND,AartiG,AartiG
10,RC2527000998,,NA,NA,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2024-12-01 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S5/S6/S8/S10/S12/S13/LED/LED FAULTY,S5/S6/S8/S10/S12/S13/LED/LED,OK,,ND,AartiG,AmitG
11,RC2527000998,,NA,NA,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-06-01 00:00:00,,,NA,NA,Pass,Found OK,NA,,NFF,,ND,AartiG,AmitG
12,RC2527000998,,RAIPUR,SATGURU ELECTRICAL,DISPLAY PCB ICX 160 TS NEO,E201122309621,20/11/2024,RAIR31082503168046-1,971084,NOT WORKING,YATENDRA,2014-11-01 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S3/LED/LED FAULTY,S3/LED/LED,OK,,ND,AartiG,AmitG
13,RC2527000998,,BAREILLY,JAANVI ENTERPRISES,DISPLAY PCB ICX 160 TS NEO,E201112427418,NA,BAUY02092503186583-1,971084,Dead,A YUSH,2024-11-01 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/LED LED FAULTY,S1/S2/S3/S4/S5/S6/S7/S8/S9/S10/LED,OK,,ND,AartiG,AmitG
14,RC2527000998,,RAIPUR,AMV,DISPLAY PCB ICX 160 TS NEO,E201032573264,2025-02-07 00:00:00,RAIR23082503005244-1,971084,NOT WORKING,PADMAKR KUMAR,2025-06-01 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S2/S3/S4/S9/S12/LED/LED FAULTY,S2/S3/S4/S9/S12/LED/LED,OK,,ND,AartiG,AmitG
15,RC2527000998,,NA,NA,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2024-09-01 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S7/S8/S12/S13/LED/LED/LED/LED/LED/LED FAULTY,S7/S8/S12/S13/LED/LED/LED/LED/LED/LED,OK,,ND,AartiG,AartiG
16,RC2527000998,,NA,NA,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2024-11-01 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S7/LED FAULTY,S7/LED,OK,,ND,AartiG,AmitG
17,RC2527000998,,BBSR,NA,DISPLAY PCB ICX 160 TS NEO,E201082446129,22/11/2025,BHR20082503069604-1,971084,Dead,MD.FAIZAR RAHEMAN,2025-02-01 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,LED/LED FAULTY,LED/LED,OK,,ND,AartiG,AmitG
18,RC2527000998,,NA,NA,DISPLAY PCB ICX 160 TS NEO,NA,NA,NA,971084,NA,NA,2025-06-01 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,LED/LED/LED FAULTY,LED/LED/LED,OK,,ND,AartiG,AmitG
19,RC2527000998,,GUJRAT,ARPAN TECHNICAL SERVICE,DISPLAY PCB ICX 160 TS NEO,E201022565831,NA,AHMD02092503179239-1,971084,Dead,BHVESH KANAINYA LAL GORAKHIYA,2025-07-01 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S1/S3/S5 FAULTY,S1/S3/S5,OK,,ND,AartiG,AmitG
20,RC2527000998,,RAIPUR,BASANT SERVICE,DISPLAY PCB ICX 160 TS NEO,E201112228066,2025-02-07 00:00:00,RAIR02092503183010-1,971084,Dead,SANJAY,2023-09-01 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,S8 FAULTY,S8,OK,,ND,AartiG,AmitG
21,RC2527000998,,RAIPUR,AMV,DISPLAY PCB ICX 160 TS NEO,E20112429355,NA,RAIR2108253081868-1,971084,NOT WORKING,NA,2024-08-01 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,LED/LED FAULTY,LED/LED,OK,,ND,AartiG,AartiG
22,RC2527000998,,NA,NA,DISPLAY PCB ICX 160 TS NEO,F201122445939,2025-06-06 00:00:00,BHAR21082503080828-1,971084,Dead,NA,2024-12-01 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,LED FAULTY,LED,OK,,ND,AartiG,AmitG
23,RC2527000998,,KOLKATA,CARE CENTER,DISPLAY PCB ICX 160 TS NEO,E201102300368,2025-12-01 00:00:00,KOL204092503200,971084,NOT WORKING,SHAHBAZ  ,2023-09-01 00:00:00,24-11-2025,,NA,NA,Fail,Not Working,LED FAULTY,LED,OK,,ND,AartiG,AmitG
