Sr. No.,DC No.,DC Date,Branch,BCCD Name,Product Description,Product Sr. No.,Date of Purchase,Complaint No.,Part Code,Defect,Visiting Tech Name,Mfg Month/Year,Repair Date,"Defect Age (Years, Months, Days)",PCB Sr. No.,RF Observation,Testing,Failure,Analysis,Component Consumption,Status,Send Date,Engg. Name,Tag Entry By,Consumption Entry
1,RC2527000514,,NA,NA,DISPLAY PCB ASSLY SPLENDID 140 TS,NA,NA,NA,971065,NA,NA,NA,2025-11-11 00:00:00,,NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12 FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12,OK,,PP,NileshK,AmitG
2,RC2527000514,,AGRA,SUMAN COMMUNICATION,DISPLAY PCB ASSLY SPLENDID 140 TS,N304102340500,NA,AGRA05062502339502,971065,NOT WORKING,SAMSER,23-12-2025,2025-11-11 00:00:00,,NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/CON1 FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/CON1,OK,,PP,NileshK,AmitG
3,RC2527000514,,NA,NA,DISPLAY PCB ASSLY SPLENDID 140 TS,NA,NA,NA,971065,NA,NA,24-08-2025,2025-11-11 00:00:00,"0 years, 2 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12 FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12,OK,,PP,NileshK,AmitG
4,RC2527000514,,NA,NA,DISPLAY PCB ASSLY SPLENDID 140 TS,NA,NA,NA,971065,NA,NA,23-10-2025,2025-11-11 00:00:00,"0 years, 0 months",NA,NA,Fail,Not Working,K1/K2/K5/K6/K8/K10 FAULTY,K1/K2/K5/K6/K8/K10,OK,,PP,NileshK,AmitG
5,RC2527000514,,JODHPUR,JUSTDIAL ELECTRO,DISPLAY PCB ASSLY SPLENDID 140 TS,M304032426721,NA,JODR23052502208163,971065,Dead,NA,24-03-2025,2025-11-11 00:00:00,"0 years, 7 months",NA,NA,Fail,Not Working,K1/K2/K5/K6/K8/K8/K11/LED/LED FAULTY,K1/K2/K5/K6/K8/K8/K11/LED/LED,OK,,PP,NileshK,AmitG
6,RC2527000514,,NAVI MUMABAI,PROMPT SERVICE,DISPLAY PCB ASSLY SPLENDID 140 TS,N304102418704,45689,2501705862,971065,NOT WORKING,USMAN,23-12-2025,2025-11-11 00:00:00,,NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/CON1 FAULTY,K1/K2/K3/K4/K5/K6/K7/CON1,OK,,PP,NileshK,AmitG
7,RC2527000514,,AURANGABAD,CHETAN ENTERPRISES,DISPLAY PCB ASSLY SPLENDID 140 TS,N304102343857,45751,AURD04042501739332,971065,NOT WORKING,SAGAR PATAYIT,23-12-2025,2025-11-11 00:00:00,,NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12 FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12,OK,,PP,NileshK,AmitG
8,RC2527000514,,KOLHAPUR,SHREE SANARTH SARVICE,DISPLAY PCB ASSLY SPLENDID 140 TS,N304122376332,45385,KOLR06022501264585,971065,Dead,GANESH BABAR,23-12-2025,,,NA,NA,Pass,Found OK,NA,,NFF,,PP,NileshK,AmitG
9,RC2527000514,,KOLHAPUR,TINEKAR ENTERPRISE,DISPLAY PCB ASSLY SPLENDID 140 TS,N304012497203,NA,1500831,971065,NOT WORKING,SUNIL,24-01-2025,2025-11-11 00:00:00,"0 years, 9 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12 FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12,OK,,PP,NileshK,AmitG
10,RC2527000514,,JAIPUR,KANHA ENTERPRISES,DISPLAY PCB ASSLY SPLENDID 140 TS,N304122382864,NA,2016809,971065,NOT WORKING,ABHISHEK,24-02-2025,2025-11-11 00:00:00,"0 years, 8 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/LED FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/LED,OK,,PP,NileshK,AmitG
11,RC2527000514,,NA,NA,DISPLAY PCB ASSLY SPLENDID 140 TS,NA,NA,NA,971065,NA,NA,24-01-2025,2025-11-11 00:00:00,"0 years, 9 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12 FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12,OK,,PP,NileshK,AmitG
12,RC2527000514,,JAIPUR,YOGIT ENTERPRISE,DISPLAY PCB ASSLY SPLENDID 140 TS,N30410249589,45994,JAIR30042501984739,971065,NOT WORKING,DEEPENDRA SINGH,24-10-2025,2025-11-11 00:00:00,"0 years, 0 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED,OK,,PP,NileshK,AmitG
13,RC2527000514,,LUCKNOW,TEJAS ENTERPRISE,DISPLAY PCB ASSLY SPLENDID 140 TS,23245,15/06/2024,2014750,971065,Dead,SATISH,24-09-2025,2025-11-11 00:00:00,"0 years, 1 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED,OK,,PP,NileshK,AmitG
14,RC2527000514,,KOLHAPUR,TINEKAR,DISPLAY PCB ASSLY SPLENDID 140 TS,N304052464021,45514,1627597,971065,NOT WORKING,SUNIL,24-05-2025,2025-11-11 00:00:00,"0 years, 5 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12 FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12,OK,,PP,NileshK,AmitG
15,RC2527000514,,JODHPUR,SIYARAM,DISPLAY PCB ASSLY SPLENDID 140 TS,N30402248371,23/08/2024,1630925,971065,Dead,RINESH KUMAR,24-07-2025,2025-11-11 00:00:00,"0 years, 3 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED,OK,,PP,NileshK,AmitG
16,RC2527000514,,NAGAPUR,SHIVAM ELECTRICALS,DISPLAY PCB ASSLY SPLENDID 140 TS,N304022407142,23/05/2025,NAGR230325022019,971065,NOT WORKING,SAGAR,24-02-2025,2025-11-11 00:00:00,"0 years, 8 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED,OK,,PP,NileshK,AmitG
17,RC2527000514,,NA,NA,DISPLAY PCB ASSLY SPLENDID 140 TS,NA,NA,NA,971065,NA,NA,23-10-2025,2025-11-11 00:00:00,"0 years, 0 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED,OK,,PP,NileshK,AmitG
18,RC2527000514,,NA,NA,DISPLAY PCB ASSLY SPLENDID 140 TS,NA,NA,NA,971065,NA,NA,24-05-2025,2025-11-11 00:00:00,"0 years, 5 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/CON1 FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/CON1,OK,,PP,NileshK,AmitG
19,RC2527000514,,PUNE,SUMAN COMMUNICATION,DISPLAY PCB ASSLY SPLENDID 140 TS,N304102418715,45718,29042501975769,971065,NOT WORKING,NA,24-10-2025,2025-11-11 00:00:00,"0 years, 0 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED,OK,,PP,NileshK,AmitG
